2021-03-10T10:12:11,708 | WARN  | activator-1-thread-2 | MavenRepositoryURL               | 2 - org.ops4j.pax.url.mvn - 2.6.2 | Repository spec file:/root/system/ does not contain an identifier. Give your repository a name, for example: file:/root/system@snapshots@id=MyName
2021-03-10T10:12:12,962 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 | Adding features: wrap/[2.6.2,2.6.2]
2021-03-10T10:12:13,099 | WARN  | downloader-4-thread-1 | MavenRepositoryURL               | 2 - org.ops4j.pax.url.mvn - 2.6.2 | Repository spec file:/root/system/ does not contain an identifier. Give your repository a name, for example: file:/root/system@snapshots@id=MyName
2021-03-10T10:12:13,207 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 | Changes to perform:
2021-03-10T10:12:13,208 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |   Region: root
2021-03-10T10:12:13,208 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |     Bundles to install:
2021-03-10T10:12:13,208 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2021-03-10T10:12:13,212 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 | Installing bundles:
2021-03-10T10:12:13,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2021-03-10T10:12:13,301 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 | Starting bundles:
2021-03-10T10:12:13,304 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |   org.ops4j.pax.url.wrap/2.6.2
2021-03-10T10:12:13,315 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 | Done.
